class_id,category,class_name_english,video_path
0,Adjectives,Bad,SSL400\Dataset - Original\Adjectives\Bad\Bad_001.mov
0,Adjectives,Bad,SSL400\Dataset - Original\Adjectives\Bad\Bad_002.mov
0,Adjectives,Bad,SSL400\Dataset - Original\Adjectives\Bad\Bad_003.mov
0,Adjectives,Bad,SSL400\Dataset - Original\Adjectives\Bad\Bad_004.mov
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_001.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_002.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_003.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_004.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_005.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_006.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_007.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_008.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_009.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_010.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_011.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_012.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_013.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_014.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_015.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_016.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_017.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_018.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_019.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_020.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_021.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_022.mov
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_023.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_024.mov
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_025.mp4
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_026.mov
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_027.MOV
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_028.MOV
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_029.MOV
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_030.MOV
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_031.MOV
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_032.MOV
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_033.MOV
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_034.MOV
1,Adjectives,Beautiful,SSL400\Dataset - Original\Adjectives\Beautiful\Beautiful_035.MOV
2,Adjectives,Careful,SSL400\Dataset - Original\Adjectives\Careful\Careful_001.mov
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_001.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_002.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_003.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_004.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_005.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_006.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_007.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_008.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_009.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_010.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_011.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_012.mp4
3,Adjectives,Cold,SSL400\Dataset - Original\Adjectives\Cold\Cold_013.mov
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_001.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_002.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_003.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_004.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_005.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_006.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_007.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_008.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_009.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_010.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_011.mp4
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_012.MOV
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_013.MOV
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_014.MOV
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_015.MOV
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_016.MOV
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_017.MOV
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_018.MOV
4,Adjectives,Deaf,SSL400\Dataset - Original\Adjectives\Deaf\Deaf_019.MOV
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_001.mp4
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_002.mp4
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_003.mp4
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_004.mp4
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_005.mp4
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_006.mp4
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_007.mp4
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_008.mp4
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_009.mp4
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_010.MOV
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_011.MOV
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_012.MOV
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_013.MOV
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_014.MOV
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_015.MOV
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_016.MOV
5,Adjectives,Deep,SSL400\Dataset - Original\Adjectives\Deep\Deep_017.MOV
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_001.mp4
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_002.mp4
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_003.mp4
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_004.mp4
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_005.mp4
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_006.mp4
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_007.mp4
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_008.mp4
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_009.mp4
6,Adjectives,Different,SSL400\Dataset - Original\Adjectives\Different\Different_010.mp4
7,Adjectives,Difficult,SSL400\Dataset - Original\Adjectives\Difficult\Difficult_001.mov
7,Adjectives,Difficult,SSL400\Dataset - Original\Adjectives\Difficult\Difficult_002.mov
8,Adjectives,Double,SSL400\Dataset - Original\Adjectives\Double\Double_001.mp4
8,Adjectives,Double,SSL400\Dataset - Original\Adjectives\Double\Double_002.mp4
8,Adjectives,Double,SSL400\Dataset - Original\Adjectives\Double\Double_003.mp4
8,Adjectives,Double,SSL400\Dataset - Original\Adjectives\Double\Double_004.mp4
8,Adjectives,Double,SSL400\Dataset - Original\Adjectives\Double\Double_005.mp4
8,Adjectives,Double,SSL400\Dataset - Original\Adjectives\Double\Double_006.mp4
9,Adjectives,Fast,SSL400\Dataset - Original\Adjectives\Fast\Fast_001.MOV
9,Adjectives,Fast,SSL400\Dataset - Original\Adjectives\Fast\Fast_002.MOV
9,Adjectives,Fast,SSL400\Dataset - Original\Adjectives\Fast\Fast_003.MOV
