video_path,class_name,class_id
data/raw/Drink/WhatsApp Video 2026-06-23 at 4.38.11 PM.mp4,Drink,5
data/raw/Drink/Drink_024.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-19 at 15.59.32.mp4,Drink,5
data/raw/Drink/Drink_012.mp4,Drink,5
data/raw/Drink/Drink_017.mp4,Drink,5
data/raw/Drink/Drink_021.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-25 at 11.11.26 PM.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-25 at 11.11.33 PM.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-06-23 at 4.31.55 PM.mp4,Drink,5
data/raw/Drink/Drink_020.mp4,Drink,5
data/raw/Drink/Drink_010.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-17 at 1.39.28 PM (1).mp4,Drink,5
data/raw/Drink/Drink_039.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-06-23 at 4.37.22 PM.mp4,Drink,5
data/raw/Drink/Drink_038.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-06 at 6.39.03 PM.mp4,Drink,5
data/raw/Drink/Drink_004.mp4,Drink,5
data/raw/Drink/Drink_022.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-19 at 15.54.03.mp4,Drink,5
data/raw/Drink/Drink_005.mp4,Drink,5
data/raw/Drink/Drink_030.mp4,Drink,5
data/raw/Drink/Drink_011.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-06 at 6.38.00 PM.mp4,Drink,5
data/raw/Drink/Drink_023.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-06 at 6.38.28 PM.mp4,Drink,5
data/raw/Drink/Drink_025.mp4,Drink,5
data/raw/Drink/Drink_001.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-06 at 6.40.39 PM.mp4,Drink,5
data/raw/Drink/Drink_026.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-19 at 15.55.39.mp4,Drink,5
data/raw/Drink/Drink_019.mp4,Drink,5
data/raw/Drink/Drink_029.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-17 at 1.39.28 PM.mp4,Drink,5
data/raw/Drink/Drink_027.mp4,Drink,5
data/raw/Drink/Drink_013.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-25 at 11.11.38 PM (1).mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-06-23 at 4.29.28 PM.mp4,Drink,5
data/raw/Drink/WhatsApp Video 2026-07-19 at 15.57.37.mp4,Drink,5
data/raw/Drink/Drink_014.mp4,Drink,5
data/raw/Eat/Eat_018.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-06 at 6.36.34 PM.mp4,Eat,4
data/raw/Eat/Eat_001.mp4,Eat,4
data/raw/Eat/Eat_004.mp4,Eat,4
data/raw/Eat/Eat_021.mp4,Eat,4
data/raw/Eat/Eat_011.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-25 at 11.11.27 PM.mp4,Eat,4
data/raw/Eat/Eat_022.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-17 at 12.19.59 PM.mp4,Eat,4
data/raw/Eat/2-1.mp4,Eat,4
data/raw/Eat/3-1.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-06 at 6.36.16 PM.mp4,Eat,4
data/raw/Eat/Eat_014.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-06-23 at 4.42.44 PM.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-17 at 12.19.22 PM.mp4,Eat,4
data/raw/Eat/Eat_006.mp4,Eat,4
data/raw/Eat/Eat_023.mp4,Eat,4
data/raw/Eat/Eat_026.mp4,Eat,4
data/raw/Eat/Eat_013.mp4,Eat,4
data/raw/Eat/MostafaMahmoud_eat_5.mp4,Eat,4
data/raw/Eat/Eat_016.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-06-23 at 4.44.33 PM.mp4,Eat,4
data/raw/Eat/Eat_002.mp4,Eat,4
data/raw/Eat/Eat_033.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-25 at 11.11.28 PM (1).mp4,Eat,4
data/raw/Eat/Person15_eat_1.mp4,Eat,4
data/raw/Eat/Eat_036.mp4,Eat,4
data/raw/Eat/Eat_025.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-19 at 16.01.53.mp4,Eat,4
data/raw/Eat/Eat_046.mp4,Eat,4
data/raw/Eat/Eat_027.mp4,Eat,4
data/raw/Eat/Eat_028.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-24 at 16.46.36.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-06 at 6.35.55 PM.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-06-23 at 4.43.24 PM.mp4,Eat,4
data/raw/Eat/Eat_042.mp4,Eat,4
data/raw/Eat/Eat_020.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-06-23 at 4.44.01 PM.mp4,Eat,4
data/raw/Eat/AbdelrahamanKhairy_eat_1.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-06 at 6.35.37 PM.mp4,Eat,4
data/raw/Eat/AbdullahAshraf_eat_2.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-06 at 6.36.59 PM.mp4,Eat,4
data/raw/Eat/Eat_009.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-17 at 12.19.58 PM.mp4,Eat,4
data/raw/Eat/ReemAdel_eat_1.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-06-23 at 4.45.55 PM.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-25 at 11.11.34 PM.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-19 at 18.01.38.mp4,Eat,4
data/raw/Eat/Person18_eat_4.mp4,Eat,4
data/raw/Eat/Eat_010.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-17 at 12.19.22 PM (1).mp4,Eat,4
data/raw/Eat/Eat_029.mp4,Eat,4
data/raw/Eat/WhatsApp Video 2026-07-24 at 16.45.15.mp4,Eat,4
data/raw/Eat/Eat_037.mp4,Eat,4
data/raw/Eat/Eat_035.mp4,Eat,4
data/raw/Good/Good_048.mp4,Good,2
data/raw/Good/AhmedAkef_good_1.mp4,Good,2
data/raw/Good/BasmaRafeeq_good_1.mp4,Good,2
data/raw/Good/Good_040.mp4,Good,2
data/raw/Good/Good_062.mp4,Good,2
data/raw/Good/Good_067.mp4,Good,2
data/raw/Good/Good_046.mp4,Good,2
data/raw/Good/WhatsApp Video 2026-07-06 at 6.33.54 PM.mp4,Good,2
data/raw/Good/Good_057.mp4,Good,2
