epoch,accuracy,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.07500000298023224,3.801098585128784,0.4906249940395355,0.15909090638160706,2.782676935195923,0.6590909361839294
1,0.13750000298023224,2.6441636085510254,0.5718749761581421,0.11363636702299118,2.6681153774261475,0.5454545617103577
2,0.15312500298023224,2.4549922943115234,0.59375,0.09090909361839294,2.333782911300659,0.6136363744735718
3,0.14687499403953552,2.318315029144287,0.6000000238418579,0.20454545319080353,2.3526620864868164,0.5909090638160706
4,0.12812499701976776,2.3202624320983887,0.628125011920929,0.1818181872367859,2.213317632675171,0.6818181872367859
5,0.15000000596046448,2.3087546825408936,0.628125011920929,0.2954545319080353,2.1965646743774414,0.75
6,0.14374999701976776,2.3158628940582275,0.6468750238418579,0.25,2.253678798675537,0.5681818127632141
7,0.15625,2.266012668609619,0.659375011920929,0.20454545319080353,2.2350175380706787,0.6818181872367859
8,0.140625,2.306205987930298,0.6031249761581421,0.1818181872367859,2.207777976989746,0.6363636255264282
9,0.15937499701976776,2.2433393001556396,0.659375011920929,0.15909090638160706,2.2158043384552,0.7272727489471436
10,0.16875000298023224,2.2342007160186768,0.684374988079071,0.1818181872367859,2.2793173789978027,0.6818181872367859
11,0.16875000298023224,2.2255637645721436,0.6968749761581421,0.25,2.231257438659668,0.7045454382896423
12,0.16562500596046448,2.22182297706604,0.690625011920929,0.20454545319080353,2.190532922744751,0.6590909361839294
13,0.15625,2.2157740592956543,0.6875,0.25,2.208728551864624,0.6818181872367859
14,0.1875,2.2331156730651855,0.6781250238418579,0.20454545319080353,2.186236619949341,0.6590909361839294
15,0.18437500298023224,2.217491626739502,0.6656249761581421,0.1818181872367859,2.222404718399048,0.6818181872367859
16,0.20624999701976776,2.2079806327819824,0.6781250238418579,0.27272728085517883,2.189729928970337,0.7045454382896423
17,0.17812499403953552,2.2115650177001953,0.703125,0.27272728085517883,2.2198541164398193,0.7272727489471436
18,0.20000000298023224,2.185494899749756,0.7281249761581421,0.25,2.1804091930389404,0.6818181872367859
19,0.17499999701976776,2.1758511066436768,0.731249988079071,0.27272728085517883,2.1690385341644287,0.6590909361839294
20,0.171875,2.185249090194702,0.737500011920929,0.25,2.1847054958343506,0.7045454382896423
21,0.18437500298023224,2.1852753162384033,0.721875011920929,0.22727273404598236,2.1879987716674805,0.7045454382896423
22,0.19374999403953552,2.1699728965759277,0.715624988079071,0.25,2.178696393966675,0.7272727489471436
23,0.23125000298023224,2.150709629058838,0.7124999761581421,0.25,2.181123971939087,0.7272727489471436
24,0.21250000596046448,2.1803879737854004,0.703125,0.25,2.180940866470337,0.7272727489471436
25,0.20624999701976776,2.147484540939331,0.7093750238418579,0.25,2.1802170276641846,0.75
26,0.22812500596046448,2.1608023643493652,0.7093750238418579,0.25,2.1801865100860596,0.7272727489471436
27,0.203125,2.151345729827881,0.703125,0.25,2.1797773838043213,0.7272727489471436
28,0.17812499403953552,2.1479554176330566,0.7250000238418579,0.25,2.1803739070892334,0.75
29,0.22499999403953552,2.153315305709839,0.746874988079071,0.25,2.1803457736968994,0.75
